EntityID,AttributeID,Value
44624108000120,company_name,KOPPLIN TERRAPLENAGEM LTDA
44624108000120,phone,4999908415.0
44624108000120,email,MAURICIOKOPPLIN@HOTMAIL.COM
44624108000120,address,DAS ARAUCARIAS Número: 155 Bairro: FLORESTA CEP: 89710052 CONCORDIA/SC
44624108000120,company_opening_date,2021-12-17
44624108000120,company_share_capital_value,20000
44632084000151,company_name,44.632.084 DANIEL DE SOUZA
44632084000151,phone,2190802591.0
44632084000151,email,DANIEL.RJ11@YAHOO.COM.BR
44632084000151,address,ACEGUA Número: 152 Bairro: COELHO NETO CEP: 21510470 RIO DE JANEIRO/RJ
44632084000151,company_opening_date,2021-12-19
44632084000151,company_share_capital_value,5000
44650853000144,company_name,DOAC COMERCIO & SERVICOS LTDA
44650853000144,phone,1199999999.0
44650853000144,email,EMAIL@EMAIL.COM.BR
44650853000144,address,PIASSANGUABA Número: 3073 Bairro: PLANALTO PAULISTA CEP: 4060004 SAO PAULO/SP
44650853000144,company_opening_date,2021-12-21
44650853000144,company_share_capital_value,50000
44651148000161,company_name,M.L. COMERCIO E REPRESENTACOES LTDA
44651148000161,phone,5197334623.0
44651148000161,email,LAURAALTERMANN@GMAIL.COM
44651148000161,address,QUINZE DE NOVEMBRO LOJA  4 Número: 50 Bairro: CENTRO CEP: 98640000 CRISSIUMAL/RS
44651148000161,company_opening_date,2021-12-21
44651148000161,company_share_capital_value,25000
44699903000188,company_name,BELEM SERVICOS DE SUPORTE LTDA
44699903000188,phone,9180500050.0
44699903000188,email,ASSIS@FORTES-SERTAOCENTRAL.COM.BR
44699903000188,address,AVERTANO ROCHA SALA  307 Número: 192 Bairro: CAMPINA CEP: 66023120 BELEM/PA
44699903000188,company_opening_date,2021-12-29
44699903000188,company_share_capital_value,100000
44702299000100,company_name,LUTECH CIENTIFICA INDUSTRIA E COMERCIO LTDA
44702299000100,phone,1798216736.0
44702299000100,email,FINANCEIRO@LUTECH.COM.BR
44702299000100,address,JOAO MESQUITA Número: 1348 Bairro: PARQUE INDUSTRIAL CEP: 15025035 SAO JOSE DO RIO PRETO/SP
44702299000100,company_opening_date,2021-12-30
44702299000100,company_share_capital_value,200000
44703349000165,company_name,FENIX SOLUCOES INTEGRADAS LTDA
44703349000165,phone,7335333277.0
44703349000165,email,SOLUCOESINTEGRADASFENIX@GMAIL.COM
44703349000165,address,JOSE EIRALDO SILVA Número: 65 Bairro: PALMEIRA CEP: 45345000 JAGUAQUARA/BA
44703349000165,company_opening_date,2021-12-29
44703349000165,company_share_capital_value,150000
44725930000188,company_name,44.725.930 RAFAEL SAINT CLAIR URUPUKINA
44725930000188,phone,2297151796.0
44725930000188,email,RSUEMPREENDIMENTOS@GMAIL.COM
44725930000188,address,MARCOS JOSE PIMENTEL JARDIM QUADRA 0001 LOTE 0016 Número: 78 Bairro: BAIRRO CHIC CEP: 28860000 CASIMIRO DE ABREU/RJ
44725930000188,company_opening_date,2022-01-03
44725930000188,company_share_capital_value,75000
44734412000120,company_name,WP COMERCIO LTDA
44734412000120,phone,2732009661.0
44734412000120,email,WPCOMERCIO1@GMAIL.COM
44734412000120,address,ELIEZER GONCALVES DE JESUS PAVMTO1 - COMERCIO 01 Número: 275 Bairro: SANTANA CEP: 29154130 CARIACICA/ES
44734412000120,company_opening_date,2022-01-04
44734412000120,company_share_capital_value,100000
44746467000150,company_name,METALURGICA  TRIUNFO LTDA
44746467000150,phone,8391182728.0
44746467000150,email,METALURGICATRIUNFO.BRUNO@GMAIL.COM
44746467000150,address,BALBINO ALVES BARBOSA FILHO Número: 220 Bairro: SERROTAO CEP: 58437640 CAMPINA GRANDE/PB
44746467000150,company_opening_date,2022-01-05
44746467000150,company_share_capital_value,100000
44772937000150,company_name,TELEMATICA SISTEMAS INTELIGENTES LTDA
44772937000150,phone,1139336381.0
44772937000150,email,JURIDICO@ICATEL.COM.BR
44772937000150,address,PROFESSOR MAX ZENDRON TERREOTERREO Número: 370 Bairro: VILA SAO JORGE CEP: 6402010 BARUERI/SP
44772937000150,company_opening_date,1980-10-09
44772937000150,company_share_capital_value,6520000
44781774000172,company_name,H E A TRANSPORTE LTDA
44781774000172,phone,7996468370.0
44781774000172,email,CIELVIEIRA18@GMAIL.COM
44781774000172,address,ERISVALDO FRANCISCO DA SILVA Número: 453 Bairro: CENTRO CEP: 49690000 MONTE ALEGRE DE SERGIPE/SE
44781774000172,company_opening_date,2022-01-07
44781774000172,company_share_capital_value,10000
44791976000103,company_name,9CS COMERCIO DE PRODUTOS LTDA
44791976000103,phone,1189269298.0
44791976000103,email,LOJAODASMULTICOISAS@GMAIL.COM
44791976000103,address,STA ROMANA CASA  03 Número: 490 Bairro: VILA PEREIRA CERCA CEP: 2931020 SAO PAULO/SP
44791976000103,company_opening_date,2022-01-08
44791976000103,company_share_capital_value,20000
44801498000167,company_name,44.801.498 JAQUELINE DE SANTANA SILVA
44801498000167,phone,7193771049.0
44801498000167,email,EBENEZERVARIEDADES.BA@GMAIL.COM
44801498000167,address,CARDEAL AVELAR BRANDAO VILLELA Número: 183 -E Bairro: MATA ESCURA CEP: 41219600 SALVADOR/BA
44801498000167,company_opening_date,2022-01-10
44801498000167,company_share_capital_value,5000
44801853000106,company_name,JOAQUIM PEREIRA ROCHA 38677881115
44801853000106,phone,6191984884.0
44801853000106,email,CDSMATTOS@GMAIL.COM
44801853000106,address,QUADRA 357 QUADRA 357;LOTE 17 RUA 135 Número: 17 Bairro: PARQUE ESTRELA DALVA IX CEP: 72853357 LUZIANIA/GO
44801853000106,company_opening_date,2022-01-10
44801853000106,company_share_capital_value,100000
44812602000119,company_name,TRIDR TIC LTDA
44812602000119,phone,2721427013.0
44812602000119,email,CONTATO@TRIDR.COM
44812602000119,address,LUMBERTO MACIEL DE AZEVEDO APT   201   BLOCO D Número: 111 Bairro: JARDIM CAMBURI CEP: 29090700 VITORIA/ES
44812602000119,company_opening_date,2022-01-11
44812602000119,company_share_capital_value,100000
44818547000174,company_name,XLAN LTDA
44818547000174,phone,4891316522.0
44818547000174,email,XLAN@XLAN.COM.BR
44818547000174,address,VEREADOR ARTHUR MANOEL MARIANO SALA  402 Número: 362 Bairro: FORQUILHINHA CEP: 88106500 SAO JOSE/SC
44818547000174,company_opening_date,2022-01-11
44818547000174,company_share_capital_value,24000
44845034000152,company_name,CNL COMERCIO DE PLASTICOS LTDA
44845034000152,phone,5180246518.0
44845034000152,email,CNL.PLASTICOS.SC@GMAIL.COM
44845034000152,address,JOSUE DI BERNARDI SALA  31T Número: 185 Bairro: CAMPINAS CEP: 88101201 SAO JOSE/SC
44845034000152,company_opening_date,2022-01-12
44845034000152,company_share_capital_value,10000
44880345000152,company_name,ROQUE FINGER & DAL BO COMERCIO DE COMUNICACAO VISUAL LTDA
44880345000152,phone,1183126745.0
44880345000152,email,ROQUEFINGER@ROQUEPRINT.COM.BR
44880345000152,address,DIAMANTE Número: 333 Bairro: NOVA HIGIENOPOLIS CEP: 6642170 JANDIRA/SP
44880345000152,company_opening_date,2022-01-15
44880345000152,company_share_capital_value,10000
44920089000180,company_name,LIMA RESTAURANTE LTDA
44920089000180,phone,8185015056.0
44920089000180,email,DELICIASDOPORTOIPOJUCA@GMAIL.COM
44920089000180,address,PROJETADA QUADRAVII   LOTE  18 Número: 10 Bairro: GRANJA ELDORADO CEP: 55900000 GOIANA/PE
44920089000180,company_opening_date,2022-01-18
44920089000180,company_share_capital_value,50000
44954785000107,company_name,44.954.785 BEATRIZ RIBEIRO DOS SANTOS
44954785000107,phone,6130527561.0
44954785000107,email,AGORA.LICITACOES61@GMAIL.COM
44954785000107,address,QUADRA 205 CONJUNTO 5 CASA Número: 12 Bairro: SETOR RESIDENCIAL OESTE (SAO SEBASTIAO) CEP: 71691439 BRASILIA/DF
44954785000107,company_opening_date,2022-01-20
44954785000107,company_share_capital_value,1000
44965792000104,company_name,F&F DISTRIBUIDORA CORDEIRO LTDA
44965792000104,phone,1936762400.0
44965792000104,email,COMERCIALDHFME@GMAIL.COM
44965792000104,address,FORTUNATA BRUNELI CANAVESI Número: 365 Bairro: CHACARA PANTANAL ENGENHO VELHO CEP: 13848786 MOGI-GUACU/SP
44965792000104,company_opening_date,2022-01-21
44965792000104,company_share_capital_value,100000
44993260000180,company_name,L DIAS MONTEIRO COMERCIO DE PRODUTOS ALIMENTICIOS LTDA
44993260000180,phone,9196140270.0
44993260000180,email,LLLEIDIANED.MONTEIRO08@GMAIL.COM
44993260000180,address,BETANIA CONJ MARIA JOSE Número: 28 Bairro: BENGUI CEP: 66630140 BELEM/PA
44993260000180,company_opening_date,2022-01-24
44993260000180,company_share_capital_value,2000000
45002595000152,company_name,HR  COMERCIO   E DISTRIBUIDORA LTDA
45002595000152,phone,2132152237.0
